"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"B29","AE4","PF11","I/O","ADC3_INP6","","","RCC_MCO_1","SPDIFRX_IN0","SPI6_RDY","SAI2_SCK_A","MDF1_SDI6","UART8_RX","TIM2_CH4","","","ETH2_MII_TXD3","","","","","/ADC3_CH6"
"B31","AE5","PF10","I/O","ADC3_INP2","","","RCC_MCO_2","SPI3_RDY","","SAI2_MCLK_A","MDF1_CKI6","UART8_TX","TIM2_CH3","","","ETH2_MII_TXD2","","","","","/ADC3_CH2"
"B33","AD6","PG4","I/O","ADC1_INP4","","","","SPI5_MISO","SAI3_FS_B","","","","LPTIM4_IN1","TIM8_BKIN","","ETH2_PPS_OUT","ETH2_MDC","FMC_A21","LTDC_R7","DCMIPP_VSYNC/DCMI_VSYNC/PSSI_RDY","/ADC1_CH4"
"B35","AG5","PG2","I/O","ADC1_INP2","","","RTC_REFIN","I2S3_MCK","I3C3_SDA","SAI2_FS_A","","USART3_CK","","TIM5_CH3","I2C3_SDA","ETH2_MII_TX_CLK","ETH2_RGMII_CLK125","FMC_CLK","LTDC_HSYNC","","/ADC1_CH2"
"B37","AD4","PG1","I/O","ADC1_INP6","","","LPTIM1_IN1","I2S3_MCK","I3C3_SCL","SAI2_SD_A","UART5_CTS","USART3_CTS/USART3_NSS","","TIM5_CH4","I2C3_SCL","ETH2_MII_RX_ER","ETH2_MII_RXD3","FMC_NBL0","LTDC_VSYNC","DCMIPP_D11/DCMI_D11/PSSI_D11","/ADC1_CH6"
"B39","AE7","PC12","I/O","ADC1_INP17","","","LPTIM1_CH2","","I3C3_SCL","","MDF1_CKI2","","","TIM8_CH3","I2C3_SCL","ETH2_MII_RXD1/ETH2_RGMII_RXD1/ETH2_RMII_RXD1","ETH1_MII_RXD3","","LTDC_G1","DCMIPP_D5/DCMI_D5/PSSI_D5","/ADC1_CH17"
"B41","AE6","PB15","I/O","ADC1_INP15","","","LPTIM1_IN2","SPI5_SCK","UART8_DE/UART8_RTS","SAI2_SD_B","UART5_RX","","TIM3_CH2","TIM5_CH1","","ETH1_PPS_OUT","","FMC_A18","LTDC_R4","DCMIPP_D8/DCMI_D8/PSSI_D8","/ADC1_CH15"
"B43","AD8","PC11","I/O","ADC1_INP7","","","LPTIM1_CH1","SPI5_NSS","","SAI2_MCLK_A","UART5_DE/UART5_RTS","USART3_DE/USART3_RTS","TIM3_CH1","TIM5_ETR","","ETH2_MII_RXD3/ETH2_RGMII_RXD3","","FMC_NBL1","LTDC_R2","DCMIPP_D10/DCMI_D10/PSSI_D10","/ADC1_CH7"
"B45","AF9","PC7","I/O","ADC3_INP9","","","","","SPI6_MOSI","SAI3_SD_B","","","","TIM8_CH2N","","ETH2_MII_TXD0/ETH2_RGMII_TXD0/ETH2_RMII_TXD0","ETH1_MII_TXD2","","LTDC_B4","DCMIPP_D1/DCMI_D1/PSSI_D1","/ADC3_CH9"
"B47","AC15","PF2","I/O","ADC1_INP13","","","","SPI3_RDY","","","","I2C4_SMBA","","TIM12_CH1","I2C2_SCL","ETH1_MDIO","ETH2_MII_COL","FMC_NE4","I3C2_SCL","","/ADC1_CH13"
"B49","AA13","PH9","I/O","ADC3_INP4","","","","","SPI6_NSS","SAI3_MCLK_A","","USART6_RX","TIM15_CH1N","","","ETH1_RGMII_CLK125","ETH1_MII_RX_ER","","","","/ADC3_CH4"
"B51","AF11","PF3","I/O","ADC1_INP16","","","","","UART8_RX","SAI2_SCK_B","MDF1_CCK0","","TIM3_CH4","TIM8_BKIN2","ETH1_CLK","ETH2_PPS_OUT","","FMC_A20","LTDC_R6","DCMIPP_HSYNC/DCMI_HSYNC/PSSI_DE","/ADC1_CH16"
